chamber,member,member_short,party,state,nominate
House,"SMITH, Lamar Seeligson",SMITH,Republican,Texas,0.425
House,"WALTERS, Mimi",WALTERS,Republican,California,0.425
House,"JOHNSON, Bill",JOHNSON,Republican,Ohio,0.428
House,"McMORRIS RODGERS, Cathy",McMORRIS RODGERS,Republican,Washington,0.43
House,"EMMER, Thomas Earl II",EMMER,Republican,Minnesota,0.432
House,"GRAVES, Samuel",GRAVES,Republican,Missouri,0.433
House,"ROSKAM, Peter",ROSKAM,Republican,Illinois,0.434
House,"MITCHELL, Paul",MITCHELL,Republican,Michigan,0.439
House,"BACON, Donald J.",BACON,Republican,Nebraska,0.441
House,"LUETKEMEYER, Blaine",LUETKEMEYER,Republican,Missouri,0.445
House,"CURTIS, John R.",CURTIS,Republican,Utah,0.446
House,"WALORSKI, Jackie",WALORSKI,Republican,Indiana,0.447
House,"LaHOOD, Darin",LaHOOD,Republican,Illinois,0.448
House,"BISHOP, Michael Dean",BISHOP,Republican,Michigan,0.448
House,"BERGMAN, John",BERGMAN,Republican,Michigan,0.448
House,"NUNES, Devin",NUNES,Republican,California,0.449
House,"YOUNG, David",YOUNG,Republican,Iowa,0.449
House,"McCAUL, Michael T.",McCAUL,Republican,Texas,0.45
House,"TIPTON, Scott",TIPTON,Republican,Colorado,0.455
House,"GIBBS, Bob",GIBBS,Republican,Ohio,0.459
House,"ROONEY, Thomas J.",ROONEY,Republican,Florida,0.461
House,"MCCARTHY, Kevin",MCCARTHY,Republican,California,0.462
House,"CARTER, John R.",CARTER,Republican,Texas,0.467
House,"WAGNER, Ann",WAGNER,Republican,Missouri,0.469
House,"RUSSELL, Steve",RUSSELL,Republican,Oklahoma,0.469
House,"PEARCE, Stevan",PEARCE,Republican,New Mexico,0.47
House,"FLEISCHMANN, Chuck",FLEISCHMANN,Republican,Tennessee,0.473
House,"HOLLINGSWORTH, Joseph Albert III",HOLLINGSWORTH,Republican,Indiana,0.474
House,"TAYLOR, Scott William",TAYLOR,Republican,Virginia,0.477
House,"HILL, French",HILL,Republican,Arkansas,0.478
House,"WEBSTER, Daniel A.",WEBSTER,Republican,Florida,0.478
House,"BARR, Garland H. (Andy) IV",BARR,Republican,Kentucky,0.485
House,"HANDEL, Karen",HANDEL,Republican,Georgia,0.49
House,"LEWIS, Jason Mark",LEWIS,Republican,Minnesota,0.49
House,"ROTHFUS, Keith",ROTHFUS,Republican,Pennsylvania,0.491
House,"PALAZZO, Steven",PALAZZO,Republican,Mississippi,0.492
House,"HULTGREN, Randy",HULTGREN,Republican,Illinois,0.492
House,"ROE, David P. (Phil)",ROE,Republican,Tennessee,0.494
House,"GOODLATTE, Robert William",GOODLATTE,Republican,Virginia,0.495
House,"HARTZLER, Vicky",HARTZLER,Republican,Missouri,0.496
House,"ABRAHAM, Ralph",ABRAHAM,Republican,Louisiana,0.497
House,"COFFMAN, Mike",COFFMAN,Republican,Colorado,0.498
House,"GRAVES, Garret",GRAVES,Republican,Louisiana,0.499
House,"MULLIN, Markwayne",MULLIN,Republican,Oklahoma,0.503
House,"CULBERSON, John",CULBERSON,Republican,Texas,0.503
House,"DUFFY, Sean",DUFFY,Republican,Wisconsin,0.505
House,"ISSA, Darrell",ISSA,Republican,California,0.505
House,"SMITH, Adrian",SMITH,Republican,Nebraska,0.509
House,"POSEY, Bill",POSEY,Republican,Florida,0.51
House,"HUNTER, Duncan Duane",HUNTER,Republican,California,0.513
House,"GALLAGHER, Michael",GALLAGHER,Republican,Wisconsin,0.514
House,"BRADY, Kevin Patrick",BRADY,Republican,Texas,0.518
House,"BLUM, Rod",BLUM,Republican,Iowa,0.519
House,"LATTA, Robert E.",LATTA,Republican,Ohio,0.519
House,"STEWART, Chris",STEWART,Republican,Utah,0.522
House,"HIGGINS, Clay",HIGGINS,Republican,Louisiana,0.523
House,"JENKINS, Lynn",JENKINS,Republican,Kansas,0.524
House,"WALBERG, Tim",WALBERG,Republican,Michigan,0.527
House,"DUNN, Neal Patrick",DUNN,Republican,Florida,0.528
House,"BARTON, Joe Linus",BARTON,Republican,Texas,0.528
House,"THORNBERRY, William McClellan (Mac)",THORNBERRY,Republican,Texas,0.529
House,"BISHOP, Robert (Rob)",BISHOP,Republican,Utah,0.53
House,"ROSS, Dennis",ROSS,Republican,Florida,0.534
House,"CHENEY, Liz",CHENEY,Republican,Wyoming,0.534
House,"KUSTOFF, David",KUSTOFF,Republican,Tennessee,0.538
House,"BYRNE, Bradley",BYRNE,Republican,Alabama,0.539
House,"OLSON, Pete",OLSON,Republican,Texas,0.54
House,"MARSHALL, Roger Wayne",MARSHALL,Republican,Kansas,0.541
House,"WESTERMAN, Bruce Eugene",WESTERMAN,Republican,Arkansas,0.542
House,"FERGUSON, Anderson Drew IV",FERGUSON,Republican,Georgia,0.543
House,"GRIFFITH, H. Morgan",GRIFFITH,Republican,Virginia,0.544
House,"FARENTHOLD, Blake",FARENTHOLD,Republican,Texas,0.545
House,"WILSON, Addison Graves (Joe)",WILSON,Republican,South Carolina,0.547
House,"ARRINGTON, Jodey Cook",ARRINGTON,Republican,Texas,0.553
House,"RYAN, Paul D.",RYAN,Republican,Wisconsin,0.556
House,"JOHNSON, Mike",JOHNSON,Republican,Louisiana,0.557
House,"SCALISE, Steve",SCALISE,Republican,Louisiana,0.559
House,"LaMALFA, Doug",LaMALFA,Republican,California,0.56
House,"LONG, Billy",LONG,Republican,Missouri,0.56
House,"MESSER, Luke",MESSER,Republican,Indiana,0.562
House,"PITTENGER, Robert",PITTENGER,Republican,North Carolina,0.563
House,"YODER, Kevin",YODER,Republican,Kansas,0.564
House,"ESTES, Ron",ESTES,Republican,Kansas,0.565
House,"KELLY, Trent",KELLY,Republican,Mississippi,0.565
House,"CARTER, Buddy",CARTER,Republican,Georgia,0.566
House,"MOONEY, Alex X.",MOONEY,Republican,West Virginia,0.567
House,"LOVE, Ludmya Bourdeau (Mia)",LOVE,Republican,Utah,0.569
House,"BURGESS, Michael C.",BURGESS,Republican,Texas,0.57
House,"RICE, Tom",RICE,Republican,South Carolina,0.576
House,"SCOTT, Austin",SCOTT,Republican,Georgia,0.576
House,"ROONEY, Francis",ROONEY,Republican,Florida,0.577
House,"WENSTRUP, Brad",WENSTRUP,Republican,Ohio,0.577
House,"BLACK, Diane",BLACK,Republican,Tennessee,0.58
House,"McHENRY, Patrick T.",McHENRY,Republican,North Carolina,0.582
House,"CHABOT, Steve",CHABOT,Republican,Ohio,0.584
House,"SESSIONS, Pete",SESSIONS,Republican,Texas,0.586
House,"CONAWAY, K. Michael",CONAWAY,Republican,Texas,0.591
House,"POE, Ted",POE,Republican,Texas,0.593
House,"DESJARLAIS, Scott",DESJARLAIS,Republican,Tennessee,0.594
House,"ROKITA, Todd",ROKITA,Republican,Indiana,0.595
House,"GOHMERT, Louie",GOHMERT,Republican,Texas,0.597
House,"BROOKS, Mo",BROOKS,Republican,Alabama,0.599
House,"DUNCAN, John J., Jr.",DUNCAN,Republican,Tennessee,0.6
House,"WILLIAMS, Roger",WILLIAMS,Republican,Texas,0.6
House,"MARCHANT, Kenny",MARCHANT,Republican,Texas,0.602
House,"HARRIS, Andy",HARRIS,Republican,Maryland,0.604
House,"WALKER, Bradley Mark",WALKER,Republican,North Carolina,0.604
House,"FLORES, Bill",FLORES,Republican,Texas,0.606
House,"GROTHMAN, Glenn",GROTHMAN,Republican,Wisconsin,0.606
House,"JOHNSON, Sam",JOHNSON,Republican,Texas,0.609
House,"COMER, James",COMER,Republican,Kentucky,0.61
House,"GOSAR, Paul",GOSAR,Republican,Arizona,0.61
House,"SMITH, Jason",SMITH,Republican,Missouri,0.611
House,"BLACKBURN, Marsha",BLACKBURN,Republican,Tennessee,0.616
House,"KING, Steve",KING,Republican,Iowa,0.617
House,"ROUZER, David",ROUZER,Republican,North Carolina,0.618
House,"ALLEN, Rick W.",ALLEN,Republican,Georgia,0.625
House,"MEADOWS, Mark",MEADOWS,Republican,North Carolina,0.626
House,"ROHRABACHER, Dana",ROHRABACHER,Republican,California,0.627
House,"SCHWEIKERT, David",SCHWEIKERT,Republican,Arizona,0.631
House,"HUIZENGA, Bill",HUIZENGA,Republican,Michigan,0.635
House,"COLLINS, Doug",COLLINS,Republican,Georgia,0.637
House,"FOXX, Virginia Ann",FOXX,Republican,North Carolina,0.641
House,"PRICE, Tom",PRICE,Republican,Georgia,0.644
House,"SENSENBRENNER, Frank James, Jr.",SENSENBRENNER,Republican,Wisconsin,0.647
House,"CHAFFETZ, Jason",CHAFFETZ,Republican,Utah,0.647
House,"WOODALL, Rob",WOODALL,Republican,Georgia,0.651
House,"HOLDING, George E.B.",HOLDING,Republican,North Carolina,0.657
House,"AMASH, Justin",AMASH,Republican,Michigan,0.658
House,"PERRY, Scott",PERRY,Republican,Pennsylvania,0.659
House,"POMPEO, Mike",POMPEO,Republican,Kansas,0.66
House,"ROYCE, Edward Randall",ROYCE,Republican,California,0.662
House,"DeSANTIS, Ron",DeSANTIS,Republican,Florida,0.663
House,"GOWDY, Trey",GOWDY,Republican,South Carolina,0.664
House,"BANKS, James E.",BANKS,Republican,Indiana,0.665
House,"MASSIE, Thomas",MASSIE,Republican,Kentucky,0.668
House,"LOUDERMILK, Barry D.",LOUDERMILK,Republican,Georgia,0.673
House,"HUDSON, Richard",HUDSON,Republican,North Carolina,0.673
House,"NORMAN, Ralph",NORMAN,Republican,South Carolina,0.689
House,"BRIDENSTINE, Jim",BRIDENSTINE,Republican,Oklahoma,0.69
House,"LAMBORN, Doug",LAMBORN,Republican,Colorado,0.69
House,"SANFORD, Mark",SANFORD,Republican,South Carolina,0.697
House,"HENSARLING, Jeb",HENSARLING,Republican,Texas,0.703
House,"YOHO, Ted",YOHO,Republican,Florida,0.704
House,"JORDAN, Jim",JORDAN,Republican,Ohio,0.705
House,"WEBER, Randy",WEBER,Republican,Texas,0.714
House,"BABIN, Brian",BABIN,Republican,Texas,0.718
House,"GAETZ, Matthew L. II",GAETZ,Republican,Florida,0.722
House,"HICE, Jody Brownlow",HICE,Republican,Georgia,0.722
House,"LABRADOR, Raúl R.",LABRADOR,Republican,Idaho,0.727
House,"BUCK, Kenneth Robert",BUCK,Republican,Colorado,0.735
House,"DUNCAN, Jeff",DUNCAN,Republican,South Carolina,0.736
House,"McCLINTOCK, Tom",McCLINTOCK,Republican,California,0.744
House,"RATCLIFFE, John",RATCLIFFE,Republican,Texas,0.745
House,"FRANKS, Trent",FRANKS,Republican,Arizona,0.749
House,"MULVANEY, Mick",MULVANEY,Republican,South Carolina,0.75
House,"GRAVES, Tom",GRAVES,Republican,Georgia,0.751
House,"DAVIDSON, Warren",DAVIDSON,Republican,Ohio,0.758
House,"PALMER, Gary James",PALMER,Republican,Alabama,0.779
House,"BUDD, Theodore Paul",BUDD,Republican,North Carolina,0.796
House,"BRAT, David A.",BRAT,Republican,Virginia,0.84
House,"BIGGS, Andrew S.",BIGGS,Republican,Arizona,0.929
House,"GARRETT, Thomas Alexander Jr.",GARRETT,Republican,Virginia,0.99
